T11,Intentional homicides and other crimes,,,,,
440,Lithuania,2010,"Percentage of male and female intentional homicide victims, Female",4.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2010,"Assault rate per 100,000 population",7.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2010,"Kidnapping at the national level, rate per 100,000",2.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2010,"Theft at the national level, rate per 100,000 population",849.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2010,"Robbery at the national level, rate per 100,000 population",87.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2010,"Total Sexual Violence at the national level, rate per 100,000",16.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2017,"Intentional homicide rates per 100,000",4.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2017,"Percentage of male and female intentional homicide victims, Male",6.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2017,"Percentage of male and female intentional homicide victims, Female",3.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2017,"Assault rate per 100,000 population",6.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2017,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2017,"Theft at the national level, rate per 100,000 population",598.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2017,"Robbery at the national level, rate per 100,000 population",38.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2017,"Total Sexual Violence at the national level, rate per 100,000",7.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2018,"Intentional homicide rates per 100,000",4.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2018,"Percentage of male and female intentional homicide victims, Male",5.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2018,"Percentage of male and female intentional homicide victims, Female",3.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2018,"Assault rate per 100,000 population",6.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2018,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
440,Lithuania,2018,"Theft at the national level, rate per 100,000 population",458.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2004,"Intentional homicide rates per 100,000",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2004,"Percentage of male and female intentional homicide victims, Male",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2004,"Percentage of male and female intentional homicide victims, Female",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2005,"Intentional homicide rates per 100,000",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2010,"Intentional homicide rates per 100,000",2.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2010,"Percentage of male and female intentional homicide victims, Male",2.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2010,"Percentage of male and female intentional homicide victims, Female",2.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2010,"Assault rate per 100,000 population",487.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2010,"Kidnapping at the national level, rate per 100,000",5.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2010,"Theft at the national level, rate per 100,000 population","1,421.2",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2010,"Robbery at the national level, rate per 100,000 population",74.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2010,"Total Sexual Violence at the national level, rate per 100,000",41.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2014,"Intentional homicide rates per 100,000",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2014,"Percentage of male and female intentional homicide victims, Male",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2014,"Percentage of male and female intentional homicide victims, Female",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2014,"Assault rate per 100,000 population",131.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2014,"Kidnapping at the national level, rate per 100,000",9.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2014,"Theft at the national level, rate per 100,000 population","1,850.1",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2014,"Robbery at the national level, rate per 100,000 population",110.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2014,"Total Sexual Violence at the national level, rate per 100,000",64.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2017,"Intentional homicide rates per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2017,"Assault rate per 100,000 population",98.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2017,"Kidnapping at the national level, rate per 100,000",7.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2017,"Theft at the national level, rate per 100,000 population","1,704.6",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2017,"Robbery at the national level, rate per 100,000 population",76.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2017,"Total Sexual Violence at the national level, rate per 100,000",61.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2018,"Assault rate per 100,000 population",101.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2018,"Kidnapping at the national level, rate per 100,000",6.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
442,Luxembourg,2018,"Theft at the national level, rate per 100,000 population","1,706.6",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
450,Madagascar,2010,"Assault rate per 100,000 population",16.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
450,Madagascar,2010,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
450,Madagascar,2010,"Theft at the national level, rate per 100,000 population",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
450,Madagascar,2010,"Robbery at the national level, rate per 100,000 population",14.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
450,Madagascar,2010,"Total Sexual Violence at the national level, rate per 100,000",3.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
450,Madagascar,2015,"Assault rate per 100,000 population",9.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
450,Madagascar,2015,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
450,Madagascar,2015,"Theft at the national level, rate per 100,000 population",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
450,Madagascar,2015,"Robbery at the national level, rate per 100,000 population",7.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
450,Madagascar,2015,"Total Sexual Violence at the national level, rate per 100,000",4.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
454,Malawi,2005,"Intentional homicide rates per 100,000",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
454,Malawi,2010,"Intentional homicide rates per 100,000",3.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
454,Malawi,2012,"Intentional homicide rates per 100,000",1.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
458,Malaysia,2005,"Intentional homicide rates per 100,000",2.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
458,Malaysia,2005,"Assault rate per 100,000 population",16.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
458,Malaysia,2005,"Theft at the national level, rate per 100,000 population",133.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
458,Malaysia,2006,"Intentional homicide rates per 100,000",2.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
458,Malaysia,2006,"Assault rate per 100,000 population",21.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
458,Malaysia,2006,"Theft at the national level, rate per 100,000 population",141.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
458,Malaysia,2010,"Intentional homicide rates per 100,000",1.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
458,Malaysia,2013,"Intentional homicide rates per 100,000",2.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
462,Maldives,2003,"Intentional homicide rates per 100,000",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
462,Maldives,2004,"Kidnapping at the national level, rate per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
462,Maldives,2010,"Intentional homicide rates per 100,000",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
462,Maldives,2010,"Kidnapping at the national level, rate per 100,000",7.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
462,Maldives,2010,"Theft at the national level, rate per 100,000 population","1,094.0",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
462,Maldives,2010,"Total Sexual Violence at the national level, rate per 100,000",143.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
462,Maldives,2013,"Intentional homicide rates per 100,000",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
462,Maldives,2013,"Kidnapping at the national level, rate per 100,000",1.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
462,Maldives,2013,"Theft at the national level, rate per 100,000 population","1,608.1",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
462,Maldives,2013,"Total Sexual Violence at the national level, rate per 100,000",137.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
462,Maldives,2017,"Assault rate per 100,000 population",71.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
462,Maldives,2017,"Kidnapping at the national level, rate per 100,000",6.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
462,Maldives,2017,"Robbery at the national level, rate per 100,000 population",17.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
462,Maldives,2017,"Total Sexual Violence at the national level, rate per 100,000",85.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2005,"Intentional homicide rates per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2005,"Percentage of male and female intentional homicide victims, Male",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2005,"Percentage of male and female intentional homicide victims, Female",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2005,"Theft at the national level, rate per 100,000 population","2,375.3",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2010,"Intentional homicide rates per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2010,"Percentage of male and female intentional homicide victims, Male",1.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2010,"Percentage of male and female intentional homicide victims, Female",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2010,"Assault rate per 100,000 population",43.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2010,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2010,"Theft at the national level, rate per 100,000 population","1,875.4",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2010,"Robbery at the national level, rate per 100,000 population",47.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2010,"Total Sexual Violence at the national level, rate per 100,000",22.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2017,"Intentional homicide rates per 100,000",2.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2017,"Percentage of male and female intentional homicide victims, Male",3.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2017,"Percentage of male and female intentional homicide victims, Female",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2017,"Assault rate per 100,000 population",42.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2017,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2017,"Theft at the national level, rate per 100,000 population","1,885.0",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2017,"Robbery at the national level, rate per 100,000 population",46.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2017,"Total Sexual Violence at the national level, rate per 100,000",17.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2018,"Intentional homicide rates per 100,000",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2018,"Percentage of male and female intentional homicide victims, Male",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2018,"Percentage of male and female intentional homicide victims, Female",1.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2018,"Assault rate per 100,000 population",41.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2018,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
470,Malta,2018,"Theft at the national level, rate per 100,000 population","1,486.2",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
474,Martinique,2005,"Intentional homicide rates per 100,000",4.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
474,Martinique,2009,"Intentional homicide rates per 100,000",2.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
474,Martinique,2009,"Percentage of male and female intentional homicide victims, Male",4.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
474,Martinique,2009,"Percentage of male and female intentional homicide victims, Female",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2005,"Intentional homicide rates per 100,000",3.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2005,"Percentage of male and female intentional homicide victims, Male",3.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2005,"Percentage of male and female intentional homicide victims, Female",2.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2005,"Assault rate per 100,000 population",10.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2005,"Theft at the national level, rate per 100,000 population","1,172.2",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2005,"Total Sexual Violence at the national level, rate per 100,000",25.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2010,"Intentional homicide rates per 100,000",2.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2010,"Percentage of male and female intentional homicide victims, Male",4.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2010,"Percentage of male and female intentional homicide victims, Female",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2010,"Assault rate per 100,000 population",19.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2010,"Kidnapping at the national level, rate per 100,000",2.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2010,"Theft at the national level, rate per 100,000 population",864.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2010,"Robbery at the national level, rate per 100,000 population",86.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2010,"Total Sexual Violence at the national level, rate per 100,000",34.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2011,"Intentional homicide rates per 100,000",2.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2011,"Percentage of male and female intentional homicide victims, Male",3.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2011,"Percentage of male and female intentional homicide victims, Female",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2011,"Assault rate per 100,000 population",18.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2011,"Kidnapping at the national level, rate per 100,000",4.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2011,"Theft at the national level, rate per 100,000 population",731.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2011,"Robbery at the national level, rate per 100,000 population",65.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2011,"Total Sexual Violence at the national level, rate per 100,000",37.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2018,"Intentional homicide rates per 100,000",2.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2018,"Percentage of male and female intentional homicide victims, Male",3.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
480,Mauritius,2018,"Percentage of male and female intentional homicide victims, Female",2.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
175,Mayotte,2009,"Intentional homicide rates per 100,000",5.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2005,"Intentional homicide rates per 100,000",9.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2005,"Percentage of male and female intentional homicide victims, Male",16.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2005,"Percentage of male and female intentional homicide victims, Female",2.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2005,"Assault rate per 100,000 population",225.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2005,"Kidnapping at the national level, rate per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2005,"Theft at the national level, rate per 100,000 population",80.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2005,"Total Sexual Violence at the national level, rate per 100,000",27.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2010,"Intentional homicide rates per 100,000",22.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2010,"Percentage of male and female intentional homicide victims, Male",41.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2010,"Percentage of male and female intentional homicide victims, Female",4.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2010,"Assault rate per 100,000 population",202.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2010,"Kidnapping at the national level, rate per 100,000",1.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2010,"Theft at the national level, rate per 100,000 population",115.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2010,"Robbery at the national level, rate per 100,000 population",647.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2010,"Total Sexual Violence at the national level, rate per 100,000",29.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2017,"Intentional homicide rates per 100,000",25.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2017,"Percentage of male and female intentional homicide victims, Male",46.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2017,"Percentage of male and female intentional homicide victims, Female",5.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2017,"Assault rate per 100,000 population",44.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2017,"Kidnapping at the national level, rate per 100,000",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2017,"Theft at the national level, rate per 100,000 population",305.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2017,"Robbery at the national level, rate per 100,000 population",196.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2017,"Total Sexual Violence at the national level, rate per 100,000",30.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2018,"Intentional homicide rates per 100,000",29.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2018,"Percentage of male and female intentional homicide victims, Male",53.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2018,"Percentage of male and female intentional homicide victims, Female",5.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2018,"Assault rate per 100,000 population",37.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2018,"Kidnapping at the national level, rate per 100,000",1.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
484,Mexico,2018,"Theft at the national level, rate per 100,000 population",290.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
492,Monaco,2005,"Intentional homicide rates per 100,000",3.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
492,Monaco,2005,"Assault rate per 100,000 population",458.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
